"","BEAS-PM2.5_3_miRNA-2_07_07_11.CEL","BEAS_C1_miRNA-2_0_07_07_11.CEL","BEAS_C2_miRNA-2_0_07_07_11.CEL","BEAS_C3_miRNA-2_0_07_07_11.CEL","BEAS_PM10_1_miRNA-2_0_06.07.11.CEL","BEAS_PM10_2_miRNA-2_0_06_07_11.CEL","BEAS_PM10_3_miRNA-2_0_06_07_11.CEL","BEAS_PM2.5_1_miRNA-2_0_06_07_11.CEL","BEAS_PM2.5_2_miRNA-2_07_07_11.CEL"
"1367452_st",1.12968964117433,0.73641116241625,0.981584792114115,1.19061257055404,1.03143649322647,0.753210341598928,1.03143649322647,1.34836023290949,1.03143649322647
"1367453_st",1.0987884903092,1.05701634675296,1.05701634675296,1.01942121424361,0.931568442285962,1.05701634675296,1.4660388910689,1.17835140673184,0.742488831026839
"1367454_st",1.14870846207455,1.14870846207455,1.18630359458391,1.14870846207455,1.07200311704127,1.2118834481104,0.797096635765411,1.01466540398244,1.18630359458391
"1367455_st",0.950668057062392,0.950668057062392,0.897698927528089,0.950668057062392,0.65330677402187,1.15695348061009,0.950668057062392,1.21743132915599,1.06497735617161
"1367456_st",1.17296797865059,1.09871039974321,1.19496949628423,0.977375339764336,1.07200311704127,1.12131876196426,0.63298718244923,0.913072924553037,0.977375339764336
"1367457_st",1.29093817647192,1.23922316506451,1.47173846097503,1.30297758634006,1.04457049804214,1.23922316506451,1.23922316506451,1.21066663789344,1.08828876052834
"1367458_st",1.40332115903987,1.40332115903987,1.19311502487828,1.44715413948433,1.30644416970989,1.40332115903987,1.40332115903987,1.55876004530226,1.40332115903987
"1367459_st",1.07200311704127,1.07200311704127,0.997908963276724,0.821160868851956,1.15264841164643,1.05701634675296,1.2310219753233,1.40079057920553,0.978459100107397
"1367460_st",1.0979411141096,1.19788870964653,1.0102327176637,0.805485729787015,0.939943607732698,0.825634308623484,1.1739492852568,1.32248927053426,1.33056701553967
"1367461_st",0.950668057062392,0.950668057062392,1.10959824955062,0.825151069678769,0.950668057062392,0.950668057062392,0.950668057062392,0.950668057062392,0.950668057062392
"1367462_st",1.21942189693226,1.06505992795419,0.977375339764336,0.805485729787015,1.17936922706341,0.652459495845563,1.2113159777053,1.21689131709791,1.0979411141096
"1367463_st",1.23922316506451,1.30634935870429,1.47643809890867,1.23922316506451,1.12701360136485,1.37338127979463,1.1577950521107,1.0408776917611,1.21251588236256
"1367464_st",1.11055453900948,1.07200311704127,1.05193531927728,1.07200311704127,1.10677627871999,1.22060719751161,0.970507206323473,1.33852050429553,0.869239944108582
"1367465_st",1.01000161224849,1.44278931828336,1.03143649322647,1.05004451088375,1.07089843758977,1.06109907416294,1.238118485613,1.18274613396982,1.28515533223591
"1367466_st",0.857891945238911,1.2738019296333,1.21266066145274,1.01706802256649,1.01706802256649,0.836358757953178,1.18895763254381,0.979472890057131,0.985981696609124
"1367467_st",1.05196791922106,1.05196791922106,0.979669872584828,0.913072924553037,0.909380762653827,1.05196791922106,1.17515222366905,1.06520976520897,1.06695468950936
"1367468_st",1.52854073296985,1.5359147705431,1.40332115903987,1.52854073296985,1.23656623991839,1.68268715093672,1.49298309263918,0.825578516701528,1.5721712906314
"1367469_st",1.29328431852664,1.03143649322647,0.983148576055669,1.03143649322647,1.17750999386246,1.03143649322647,0.683992479594202,1.2145902736085,1.07554777605335
"1367470_st",0.99135782243611,0.741354136402201,0.814696060299322,1.04565173262109,1.07200311704127,1.02895295494546,0.827259619244077,1.33670815193603,1.18454672728911
"1367471_st",0.977375339764336,0.977375339764336,1.07200311704127,1.05814377592841,0.977375339764336,0.977375339764336,0.895947226810527,1.09871039974321,0.786346079992994
"1367472_st",0.96918753964551,0.836358757953178,1.12083773078783,0.96918753964551,0.836358757953178,1.05061565259932,1.32862440262587,0.878977461997859,0.96918753964551
"1367473_st",1.30211257196503,1.06308919293441,1.06308919293441,1.26442616437186,1.34692732264212,1.10055964421233,0.928915565172594,1.10055964421233,1.32458196423039
"1367474_st",0.953238588704919,0.850277288465376,1.03143649322647,0.926991455065236,0.96458658757459,0.96458658757459,1.11447817472453,0.926991455065236,0.950668057062392
"1367475_st",0.977375339764336,0.750549220953167,0.739085764282921,0.950668057062392,0.950668057062392,1.64217077149935,0.841750833184485,1.16477922886475,1.2006717430963
"1367476_st",1.27435699140704,1.47205044862795,1.05742625337194,1.43353306873462,1.10537713684415,1.17525000439897,1.42424857855699,1.07200311704127,1.27435699140704
"1367477_st",1.13722209061036,1.10055964421233,1.05999302039753,1.34778333948073,1.32680613069971,1.28131703770146,1.10055964421233,1.03383288011937,1.05831795833113
"1367478_st",0.882289780925675,0.843738358957469,0.882289780925675,1.03143649322647,1.06186792177143,0.824731830183014,0.882289780925675,0.6143038461662,0.824509980327793
"1367479_st",1.30670596845145,0.836358757953178,1.42930508726266,1.27560880907207,1.13427975645244,1.14870846207455,1.35969060137833,0.733044362519501,1.14870846207455
"1367480_st",1.1236523337276,1.29602543705933,0.869562090875438,1.00487692340149,1.07200311704127,1.07200311704127,0.992362110052643,1.42069189367065,1.21565851338461
"1367481_st",1.04188605810242,1.02035287081668,1.14532800983731,1.10866556343929,1.10866556343929,1.29739644887067,1.1332984548953,1.10866556343929,0.759638797291049
"1367482_st",0.710113032896323,1.01447143749927,0.90487029068174,0.913072924553037,1.00316668467888,1.30194131192926,1.01447143749927,1.2145902736085,1.01447143749927
"1367483_st",1.38669956732165,1.39597303259626,1.1719507125782,1.62848832850678,1.07200311704127,0.986818335543866,1.1719507125782,0.934373021368579,1.49182560599992
"1367484_st",1.25087873017859,0.978571924692479,1.21799754402319,0.854154879592443,0.978571924692479,1.28160247841507,0.748974721361005,1.51012255978942,0.978571924692479
"1367485_st",0.989219479030597,0.950668057062392,0.991851407304256,1.06899108835143,1.15695348061009,0.618868566208295,0.748974721361005,0.737767130440029,0.950668057062392
"1367486_st",1.23922316506451,1.25057116393418,0.794538341171447,1.19655466994902,1.33121645853934,1.48439267867953,1.65900802283251,1.25057116393418,1.34519894121111
"1367487_st",0.951737894293692,1.41366749952216,0.800018427455984,1.23419966615916,1.07200311704127,1.03912193088587,1.07200311704127,1.12963991003968,1.07200311704127
"1367488_st",1.35908100314189,1.07747975930505,1.03143649322647,1.03143649322647,1.03143649322647,0.919818798446371,1.03143649322647,0.821230359064878,0.898144001965614
"1367489_st",0.893916708695839,0.951245600188085,0.893916708695839,1.091957113708,0.986692820519319,0.749526395451178,0.646309652459441,0.856321576186484,0.950668057062392
"1367490_st",0.682611016558023,0.964811780819581,0.91973854676593,1.195085565405,0.977375339764336,1.38211293832599,0.977375339764336,1.00743048486426,0.963456809252138
"1367491_st",1.041412740094,0.822563757601548,1.15695348061009,1.041412740094,1.02884918114925,0.921939198589939,0.993263922231788,1.44209893769532,1.29602543705933
"1367492_st",0.857891945238912,0.945275981831085,1.42617256638797,1.04794105073265,1.33290954603666,1.33290954603666,1.32862775586666,1.0917740311771,0.97122109007052
"1367493_st",1.15695348061009,1.15695348061009,1.27828854058897,1.03143649322647,1.15695348061009,1.15695348061009,0.927356277278618,1.15695348061009,1.15695348061009
"1367494_st",0.917024411003756,1.40653166295456,1.00068053404666,1.2063419789091,1.2063419789091,1.2063419789091,1.23922316506451,1.17778545173804,1.34186436141962
"1367495_st",0.857891945238911,0.714221463886635,0.961411813457206,1.21620356683592,1.13949822180264,1.14481804006263,1.0448704445257,1.13949822180264,0.950668057062392
"1367496_st",0.699149188136794,0.863066040655122,1.37831343033441,1.08791615571089,1.2898470054521,0.836358757953178,0.977375339764336,0.939780207254982,1.32273271976127
"1367497_st",1.41827166241305,1.07200311704127,1.03143649322647,1.06950689021672,1.07200311704127,1.62421268261445,1.07200311704127,1.03440798453192,1.09285704374729
"1367498_st",1.07200311704127,1.07200311704127,0.950522334218608,1.14871728364113,1.37106465241245,1.07200311704127,1.39939220554393,0.913072924553037,1.2110750734905
"1367499_st",0.977375339764336,0.964811780819581,1.20577595816767,1.49282678277519,0.947915196055788,0.901503062502568,0.977375339764336,0.977375339764336,0.988039415694381
