numeric_area_code,composite_area_code,Local Authority,PM2.5 2012 (total),PM2.5 2012 (non-anthropogenic),PM2.5 2012 (anthropogenic),PM2.5 2013 (total),PM2.5 2013 (non-anthropogenic),PM2.5 2013 (anthropogenic),PM2.5 2014 (total),PM2.5 2014 (non-anthropogenic),PM2.5 2014 (anthropogenic),PM2.5 2015 (total),PM2.5 2015 (non-anthropogenic),PM2.5 2015 (anthropogenic),PM2.5 2016 (total),PM2.5 2016 (non-anthropogenic),PM2.5 2016 (anthropogenic),PM2.5 2017 (total),PM2.5 2017 (non-anthropogenic),PM2.5 2017 (anthropogenic),PM2.5 2018 (total),PM2.5 2018 (non-anthropogenic),PM2.5 2018 (anthropogenic),PM2.5 2019 (total),PM2.5 2019 (non-anthropogenic),PM2.5 2019 (anthropogenic),PM2.5 2020 (total),PM2.5 2020 (non-anthropogenic),PM2.5 2020 (anthropogenic),PM2.5 2021 (total),PM2.5 2021 (non-anthropogenic),PM2.5 2021 (anthropogenic),PM2.5 2022 (total),PM2.5 2022 (non-anthropogenic),PM2.5 2022 (anthropogenic),PM2.5 2023 (total),PM2.5 2023 (non-anthropogenic),PM2.5 2023 (anthropogenic)
315,E06000040,Windsor and Maidenhead,11.9771,2.1685,9.8086,11.9004,2.1369,9.7635,11.3492,2.1271,9.222,8.9347,1.1796,7.7551,10.9552,0.5492,10.406,10.7572,0.5649,10.1923,10.7974,0.485,10.3124,10.3945,0.5752,9.8192,8.4067,0.6609,7.7459,7.9394,0.4658,7.4737,8.8578,0.5715,8.2863,7.3004,0.5731,6.7273
316,E08000015,Wirral,8.9717,2.1533,6.8184,9.2629,2.1269,7.136,9.0382,2.0958,6.9424,7.1824,1.1305,6.0519,8.2187,0.4695,7.7493,7.1265,0.3713,6.7553,8.0131,0.3592,7.6539,8.046,0.4818,7.5642,6.4943,0.6344,5.86,6.472,0.5196,5.9523,6.7178,0.5888,6.129,5.7422,0.5957,5.1465
317,E07000217,Woking,11.1413,2.1993,8.942,11.3248,2.167,9.1578,10.6402,2.1704,8.4697,9.5081,1.2335,8.2746,11.16,0.5513,10.6087,10.7207,0.5969,10.1238,10.79,0.4975,10.2925,10.0926,0.5702,9.5225,8.5596,0.6752,7.8844,7.9869,0.4573,7.5295,8.6274,0.5469,8.0805,7.2118,0.5902,6.6217
318,E06000041,Wokingham,11.5681,2.1627,9.4054,11.6285,2.1491,9.4794,11.0479,2.1443,8.9037,9.1419,1.1986,7.9433,11.1691,0.5472,10.6219,10.7093,0.5547,10.1546,10.8497,0.4835,10.3662,10.0194,0.568,9.4514,8.4922,0.6998,7.7924,7.8724,0.4724,7.4,8.6881,0.5513,8.1369,7.0816,0.574,6.5075
319,E08000031,Wolverhampton,11.3389,2.0572,9.2817,11.7367,2.0937,9.643,11.5608,2.069,9.4918,9.9199,1.0767,8.8432,10.4223,0.5089,9.9134,9.0697,0.4427,8.627,9.3993,0.4178,8.9815,10.206,0.5399,9.6661,7.4474,0.5464,6.901,7.6083,0.4465,7.1618,7.7375,0.4939,7.2436,6.965,0.5277,6.4373
320,E07000237,Worcester,10.6791,2.0264,8.6527,11.0703,2.0924,8.9779,10.8114,2.0839,8.7275,8.8442,1.0974,7.7467,9.6623,0.4883,9.174,8.6373,0.4876,8.1497,8.875,0.4701,8.4048,9.1884,0.5655,8.6229,6.9022,0.5926,6.3096,6.8774,0.4738,6.4036,6.797,0.4781,6.3189,5.6494,0.459,5.1903
321,E07000229,Worthing,10.5274,2.2857,8.2417,10.5943,2.2559,8.3384,9.819,2.2613,7.5576,9.7832,1.3945,8.3887,11.144,0.5542,10.5898,10.5972,0.7684,9.8289,10.5026,0.556,9.9466,9.5772,0.5664,9.0107,8.0146,0.6867,7.3279,7.0654,0.4429,6.6225,6.2835,0.4865,5.797,6.4445,0.6647,5.7798
322,E07000238,Wychavon,10.3971,2.0367,8.3604,11.0043,2.0944,8.9099,10.7489,2.0847,8.6642,9.3565,1.0947,8.2619,9.2543,0.4959,8.7584,8.374,0.4866,7.8874,8.514,0.4543,8.0597,8.9051,0.5579,8.3471,6.4718,0.5994,5.8724,6.6502,0.4684,6.1818,6.833,0.4942,6.3388,5.6607,0.4802,5.1805
323,,Wycombe,11.4078,2.1488,9.259,11.4437,2.1179,9.3258,10.8551,2.0975,8.7576,9.049,1.1444,7.9046,10.6297,0.5484,10.0812,10.6454,0.5543,10.0911,10.563,0.48,10.083,10.4295,0.5788,9.8506,8.0553,0.6478,7.4075,,,,,,,,,
324,E07000128,Wyre,7.8784,2.0647,5.8137,8.6647,2.0844,6.5803,8.429,2.0222,6.4068,8.2336,1.0719,7.1618,6.9114,0.4341,6.4773,6.1236,0.3574,5.7663,6.5696,0.3143,6.2553,6.4122,0.3832,6.029,5.4025,0.5729,4.8295,6.6517,0.4667,6.185,7.0914,0.435,6.6565,5.8182,0.5622,5.256
325,E07000239,Wyre Forest,10.0855,2.0363,8.0492,10.6328,2.0924,8.5405,10.3407,2.0769,8.2638,9.5037,1.0928,8.4109,9.2986,0.4934,8.8053,7.9692,0.4646,7.5046,8.3133,0.4451,7.8681,8.9045,0.561,8.3435,6.4725,0.5735,5.899,6.7894,0.4684,6.3209,6.9981,0.4876,6.5106,5.6706,0.4814,5.1893
10,E09000002,Barking and Dagenham,13.6888,2.1541,11.5347,13.8899,2.1337,11.7562,13.4052,2.1671,11.2382,11.0992,1.1342,9.965,12.7452,0.5585,12.1867,12.6175,0.5991,12.0184,13.0378,0.4959,12.5418,12.6365,0.5751,12.0614,10,0.6371,9.3629,8.5915,0.4215,8.17,9.4895,0.5685,8.921,8.3267,0.5898,7.7369
327,E09000003,Barnet,13.5829,2.168,11.4149,13.6727,2.1155,11.5573,13.2115,2.1087,11.1027,10.6617,1.1338,9.528,11.3339,0.5511,10.7828,11.7874,0.5606,11.2268,11.7292,0.4794,11.2498,11.7119,0.585,11.1269,8.8729,0.6322,8.2407,8.5683,0.4648,8.1035,9.6662,0.602,9.0642,8.0912,0.5659,7.5253
328,E09000004,Bexley,12.71,2.1619,10.5481,12.9904,2.1464,10.844,12.4793,2.1912,10.2881,10.27,1.1533,9.1167,12.0284,0.5617,11.4666,11.684,0.6241,11.0599,11.8266,0.505,11.3216,11.4041,0.5727,10.8314,9.292,0.6404,8.6516,7.9498,0.407,7.5427,8.7133,0.555,8.1584,7.8229,0.6017,7.2212
329,E09000005,Brent,14.4593,2.174,12.2853,14.468,2.1248,12.3432,14.022,2.1217,11.9003,11.2143,1.1517,10.0626,11.8361,0.5515,11.2846,12.1006,0.5676,11.533,12.1293,0.4827,11.6467,11.9668,0.5827,11.3841,9.2678,0.6357,8.6321,8.7987,0.4608,8.3379,9.9449,0.5943,9.3506,8.3437,0.5708,7.7729
330,E09000006,Bromley,12.1184,2.1819,9.9365,12.4106,2.1587,10.2519,11.867,2.1983,9.6687,9.7499,1.1856,8.5643,11.3722,0.5609,10.8113,10.9843,0.6409,10.3434,10.9553,0.5109,10.4444,10.5608,0.5723,9.9886,8.8066,0.643,8.1636,7.6739,0.4117,7.2622,8.2613,0.5476,7.7138,7.5414,0.6092,6.9322
331,E09000007,Camden,15.0918,2.1723,12.9195,15.2327,2.1282,13.1046,14.9766,2.1341,12.8425,12.3359,1.1505,11.1853,12.0138,0.5528,11.461,12.4951,0.5751,11.92,12.5071,0.4859,12.0213,12.2268,0.581,11.6458,9.7543,0.636,9.1183,9.2495,0.4529,8.7967,10.4274,0.5882,9.8392,8.916,0.5754,8.3406
332,E09000001,City of London,17.0443,2.171,14.8733,17.146,2.1321,15.0139,16.9574,2.1457,14.8117,13.6058,1.1518,12.454,12.5742,0.5541,12.0201,13.1617,0.5832,12.5786,13.145,0.4893,12.6557,12.8325,0.5792,12.2534,10.2333,0.6369,9.5964,9.7739,0.4449,9.3291,11.2286,0.5816,10.647,9.9434,0.5803,9.3631
333,E09000008,Croydon,12.614,2.1931,10.4209,12.8851,2.1614,10.7237,12.2845,2.1894,10.0952,10.1592,1.202,8.9572,11.9317,0.5581,11.3736,11.5409,0.6344,10.9065,11.6597,0.5088,11.1509,11.118,0.5729,10.5451,9.3136,0.6452,8.6684,8.0815,0.4249,7.6566,8.7352,0.5501,8.1851,7.7778,0.6066,7.1712
334,E09000009,Ealing,14.3519,2.1775,12.1744,14.5001,2.1299,12.3702,14.0412,2.1267,11.9146,10.869,1.1631,9.7059,11.8727,0.5514,11.3212,12.0301,0.5708,11.4593,12.1337,0.4844,11.6493,11.8898,0.5812,11.3086,9.24,0.6389,8.6011,8.6404,0.4601,8.1804,9.6795,0.5894,9.0901,8.1727,0.5738,7.5989
335,E09000010,Enfield,13.2781,2.1599,11.1181,13.4214,2.1139,11.3075,12.9841,2.1138,10.8703,10.6175,1.1216,9.4959,11.7069,0.5518,11.155,12.0341,0.5633,11.4708,12.1101,0.4809,11.6292,12.0288,0.5835,11.4453,9.243,0.6313,8.6116,8.5323,0.4591,8.0732,9.5916,0.5983,8.9933,8.0487,0.5682,7.4805
336,E09000011,Greenwich,13.6206,2.1678,11.4528,13.8198,2.1438,11.6759,13.3146,2.1784,11.1362,10.9161,1.1577,9.7584,12.2826,0.5591,11.7234,12.1141,0.6125,11.5016,12.3659,0.5006,11.8653,11.9206,0.5745,11.3461,9.7028,0.6398,9.063,8.4505,0.4198,8.0307,9.2898,0.5623,8.7274,8.342,0.5957,7.7463
337,E09000012,Hackney,15.09,2.1675,12.9225,15.2224,2.1281,13.0943,14.9261,2.1401,12.786,12.341,1.144,11.197,12.3418,0.5538,11.788,12.8086,0.579,12.2296,12.8978,0.4876,12.4102,12.5902,0.5799,12.0103,10.1344,0.6356,9.4988,9.4007,0.4467,8.954,10.5871,0.5848,10.0023,8.9882,0.5779,8.4103
338,E09000013,Hammersmith and Fulham,15.0026,2.1799,12.8227,15.1464,2.1366,13.0098,14.8426,2.1433,12.6993,11.9835,1.1687,10.8148,12.3409,0.553,11.7879,12.5527,0.5827,11.97,12.6614,0.4893,12.1722,12.303,0.5791,11.7239,9.9343,0.6398,9.2945,9.1116,0.4509,8.6608,9.984,0.5808,9.4032,8.5168,0.5805,7.9363
339,E09000014,Haringey,14.0581,2.1653,11.8928,14.1947,2.1207,12.0741,13.848,2.1247,11.7233,11.356,1.1346,10.2215,12.0654,0.5524,11.513,12.4194,0.5688,11.8506,12.5419,0.4832,12.0586,12.3101,0.5823,11.7278,9.743,0.6334,9.1096,8.8966,0.4553,8.4413,9.9609,0.5935,9.3673,8.3967,0.5716,7.8251
340,E09000015,Harrow,12.8997,2.1712,10.7285,12.941,2.1165,10.8245,12.3738,2.1033,10.2705,9.9036,1.1427,8.7609,11.0837,0.5505,10.5332,11.3545,0.5583,10.7963,11.2865,0.4785,10.808,11.293,0.5854,10.7076,8.6788,0.6335,8.0452,8.3773,0.4685,7.9088,9.448,0.6032,8.8447,7.8308,0.5647,7.2661
341,E09000016,Havering,12.5221,2.1443,10.3778,12.7995,2.1312,10.6683,12.3076,2.1691,10.1385,10.1856,1.1221,9.0635,11.5438,0.5594,10.9844,11.4671,0.6,10.8672,11.4503,0.4966,10.9537,11.2662,0.5737,10.6925,8.8572,0.6363,8.2209,7.8106,0.4163,7.3943,8.6211,0.5659,8.0552,7.6647,0.591,7.0738
342,E09000017,Hillingdon,13.1729,2.1747,10.9983,13.3281,2.1259,11.2022,12.8062,2.1154,10.6909,9.9494,1.1603,8.7892,11.1604,0.5505,10.6099,11.4055,0.5645,10.841,11.3836,0.482,10.9016,11.257,0.582,10.6749,8.6203,0.6398,7.9806,8.3121,0.4651,7.847,9.3205,0.5928,8.7278,7.8004,0.5707,7.2297
343,E09000018,Hounslow,13.6859,2.183,11.5029,13.9779,2.1393,11.8387,13.3928,2.1398,11.2529,10.5599,1.1797,9.3802,11.8505,0.5518,11.2987,11.9054,0.5799,11.3254,11.9127,0.4886,11.424,11.564,0.5784,10.9856,9.1313,0.6443,8.4869,8.4842,0.4563,8.0279,9.3511,0.5794,8.7717,8.0085,0.5802,7.4283
344,E09000019,Islington,15.3968,2.169,13.2279,15.54,2.1273,13.4127,15.3238,2.1364,13.1874,12.5972,1.1451,11.4521,12.328,0.5533,11.7747,12.8529,0.5765,12.2764,12.9434,0.4866,12.4568,12.6405,0.5805,12.06,10.0607,0.6355,9.4252,9.421,0.4495,8.9714,10.6917,0.5868,10.105,9.0642,0.5765,8.4877
