numeric_area_code,composite_area_code,Local Authority,PM2.5 2012 (total),PM2.5 2012 (non-anthropogenic),PM2.5 2012 (anthropogenic),PM2.5 2013 (total),PM2.5 2013 (non-anthropogenic),PM2.5 2013 (anthropogenic),PM2.5 2014 (total),PM2.5 2014 (non-anthropogenic),PM2.5 2014 (anthropogenic),PM2.5 2015 (total),PM2.5 2015 (non-anthropogenic),PM2.5 2015 (anthropogenic),PM2.5 2016 (total),PM2.5 2016 (non-anthropogenic),PM2.5 2016 (anthropogenic),PM2.5 2017 (total),PM2.5 2017 (non-anthropogenic),PM2.5 2017 (anthropogenic),PM2.5 2018 (total),PM2.5 2018 (non-anthropogenic),PM2.5 2018 (anthropogenic),PM2.5 2019 (total),PM2.5 2019 (non-anthropogenic),PM2.5 2019 (anthropogenic),PM2.5 2020 (total),PM2.5 2020 (non-anthropogenic),PM2.5 2020 (anthropogenic),PM2.5 2021 (total),PM2.5 2021 (non-anthropogenic),PM2.5 2021 (anthropogenic),PM2.5 2022 (total),PM2.5 2022 (non-anthropogenic),PM2.5 2022 (anthropogenic),PM2.5 2023 (total),PM2.5 2023 (non-anthropogenic),PM2.5 2023 (anthropogenic)
365,,Dundee City,7.7511,1.975,5.7761,7.7905,1.9827,5.8078,7.9283,1.9654,5.9629,5.9892,0.9476,5.0416,5.996,0.5002,5.4957,5.8549,0.4581,5.3967,5.9133,0.3806,5.5327,5.5066,0.3684,5.1381,4.0935,0.4779,3.6156,3.8927,0.2919,3.6008,4.3613,0.4454,3.9159,4.0058,0.4412,3.5646
366,,East Ayrshire,6.9468,2.0674,4.8794,7.3214,2.0811,5.2403,6.9858,1.9263,5.0596,5.6001,0.9764,4.6237,5.6415,0.4892,5.1523,5.8373,0.4423,5.395,5.6243,0.3892,5.2351,5.2845,0.3497,4.9348,3.791,0.4697,3.3213,4.1918,0.3952,3.7967,4.6354,0.4683,4.1671,4.0316,0.4227,3.6089
367,,East Dunbartonshire,7.5695,2.0471,5.5224,7.6203,2.0263,5.594,7.4668,1.904,5.5628,5.8431,0.9533,4.8898,5.9283,0.4956,5.4327,6.1013,0.4444,5.6569,5.9697,0.3789,5.5908,5.7614,0.3543,5.4071,4.3871,0.4708,3.9164,4.2815,0.3501,3.9313,4.8082,0.4463,4.3619,4.3412,0.4184,3.9228
368,,East Lothian,8.0432,1.9592,6.084,8.6104,2.0128,6.5976,8.6241,1.9687,6.6554,7.1108,0.9781,6.1328,6.0885,0.5164,5.572,6.3638,0.4641,5.8997,6.0804,0.3801,5.7002,5.958,0.3405,5.6174,4.3503,0.4889,3.8613,4.0872,0.288,3.7992,4.7349,0.4765,4.2584,4.1062,0.4245,3.6817
369,,East Renfrewshire,7.1611,2.0579,5.1032,7.3375,2.0484,5.2891,7.127,1.9105,5.2165,5.5819,0.9604,4.6215,5.8558,0.4904,5.3655,5.8548,0.443,5.4118,5.8314,0.3791,5.4524,5.5669,0.3564,5.2105,4.1713,0.4688,3.7025,4.2343,0.3633,3.8709,4.7952,0.447,4.3481,4.2659,0.4189,3.8471
370,,"Edinburgh, City of",8.6866,1.9717,6.715,8.8432,2.0079,6.8352,8.9616,1.96,7.0017,6.8483,0.9886,5.8597,6.56,0.5389,6.021,6.955,0.4917,6.4633,6.6986,0.3934,6.3052,,,,,,,,,,,,,,,
371,,Falkirk,8.0726,1.9992,6.0734,8.1675,1.997,6.1705,8.3895,1.9149,6.4746,6.4435,0.9547,5.4888,6.2191,0.5005,5.7186,6.2546,0.4462,5.8084,6.0821,0.3755,5.7067,5.9608,0.3492,5.6116,4.413,0.4731,3.9399,4.2276,0.3085,3.919,4.7826,0.4539,4.3287,4.2351,0.4171,3.8179
372,,Fife,7.5726,1.9782,5.5944,7.8481,1.9932,5.855,8.0518,1.9527,6.0991,6.3247,0.9671,5.3576,5.9698,0.5101,5.4597,6.1021,0.4588,5.6433,5.8684,0.3796,5.4888,5.7267,0.3474,5.3793,4.2702,0.4831,3.7871,4.0515,0.296,3.7555,4.6322,0.4642,4.168,4.0418,0.425,3.6168
373,,Glasgow City,8.676,2.0511,6.6249,8.7712,2.0365,6.7347,8.5905,1.9068,6.6837,6.6572,0.9563,5.7008,6.3273,0.4922,5.8351,6.5731,0.4434,6.1296,6.5029,0.3787,6.1242,6.2409,0.3552,5.8857,4.6859,0.4696,4.2163,4.6827,0.3548,4.3278,5.2219,0.4467,4.7752,4.777,0.4184,4.3586
374,,Highland,5.6115,2.0412,3.5704,6.2843,1.9806,4.3037,6.3766,1.9758,4.4008,5.2147,0.9575,4.2572,4.2817,0.5716,3.7102,4.0734,0.5186,3.5548,3.842,0.3741,3.4679,3.6898,0.3778,3.312,2.7166,0.4777,2.2389,2.7706,0.3836,2.387,2.8429,0.4217,2.4212,2.8302,0.4484,2.3818
375,,Inverclyde,6.5289,2.119,4.4098,6.4819,2.0636,4.4183,6.2513,1.9043,4.347,4.8931,0.9594,3.9337,5.0749,0.4959,4.579,4.9938,0.4503,4.5435,4.9233,0.3891,4.5342,4.7154,0.3551,4.3603,3.3894,0.4754,2.914,3.3915,0.4111,2.9804,3.7062,0.4447,3.2615,3.5561,0.4234,3.1327
376,,Midlothian,8.004,1.9524,6.0517,8.8809,2.0081,6.8728,8.7263,1.9564,6.7699,7.0715,0.9818,6.0897,6.1607,0.5378,5.623,6.4517,0.4902,5.9615,6.1809,0.3926,5.7884,6.0145,0.3327,5.6818,4.5355,0.508,4.0275,4.2149,0.2759,3.9391,5.0872,0.499,4.5883,4.2439,0.4329,3.8111
377,,Moray,6.2543,2.0216,4.2327,6.3934,1.9811,4.4123,6.6355,2.0481,4.5874,5.142,0.9584,4.1836,4.6394,0.5704,4.0689,4.7301,0.5315,4.1986,4.5095,0.3754,4.1341,4.1847,0.3872,3.7975,3.2194,0.4771,2.7423,3.1757,0.349,2.8268,3.3333,0.4036,2.9297,3.1362,0.4628,2.6734
378,,North Ayrshire,6.5336,2.1155,4.4181,6.651,2.0899,4.561,6.3119,1.9261,4.3858,4.9298,0.9774,3.9524,5.3063,0.4955,4.8109,5.3243,0.4524,4.8719,5.305,0.4079,4.8971,4.8948,0.3493,4.5455,3.4847,0.4726,3.0122,3.6371,0.4366,3.2005,4.1457,0.4772,3.6684,3.7442,0.4222,3.3219
379,,North Lanarkshire,7.9967,2.0153,5.9814,8.1352,2.0203,6.1149,8.0657,1.9085,6.1572,6.481,0.9532,5.5277,6.1627,0.4916,5.671,6.4431,0.4397,6.0034,6.2854,0.374,5.9114,6.1084,0.3531,5.7554,4.6107,0.4677,4.143,4.7609,0.3238,4.437,5.2969,0.449,4.848,4.6423,0.4151,4.2271
380,,Orkney Islands,6.3456,2.6144,3.7313,6.9747,2.4359,4.5388,7.4132,2.5413,4.8719,5.8592,1.3036,4.5557,3.5695,0.5949,2.9745,3.938,0.6023,3.3357,3.3846,0.3727,3.0119,2.8932,0.397,2.4962,2.5959,0.4777,2.1182,2.232,0.3689,1.8631,2.2981,0.4782,1.8199,2.3483,0.4825,1.8658
381,,Perth and Kinross,7.3575,1.9712,5.3863,7.4448,1.9503,5.4945,7.4909,1.9165,5.5744,6.2796,0.9365,5.3431,5.5454,0.5056,5.0397,5.5788,0.4557,5.1231,5.495,0.3813,5.1137,5.2926,0.3584,4.9342,3.8067,0.4786,3.328,3.7097,0.312,3.3977,4.1831,0.4289,3.7542,3.708,0.4319,3.2761
382,,Renfrewshire,7.3995,2.0769,5.3226,7.5165,2.0498,5.4667,7.3888,1.9078,5.481,5.689,0.9595,4.7295,5.7734,0.4933,5.2801,5.7954,0.4455,5.3499,5.7581,0.3819,5.3761,5.4929,0.356,5.1369,4.1219,0.4713,3.6507,4.018,0.3792,3.6388,4.4092,0.4456,3.9636,4.1631,0.4204,3.7427
383,,Scottish Borders,7.0999,1.9105,5.1894,7.7848,2.0251,5.7597,7.7253,1.931,5.7942,6.2156,0.945,5.2706,5.6865,0.4736,5.2129,5.8823,0.4291,5.4532,5.6399,0.3653,5.2746,5.4842,0.3544,5.1298,4.0046,0.4568,3.5478,4.0137,0.3096,3.7041,4.3148,0.4456,3.8693,4.0827,0.4163,3.6663
384,,Shetland Islands,6.7157,3.2934,3.4223,6.6574,2.9139,3.7436,7.1611,3.118,4.0431,5.7454,1.8947,3.8506,3.5887,0.5428,3.0459,3.5819,0.5547,3.0273,3.2506,0.38,2.8707,3.0436,0.382,2.6616,2.5549,0.4791,2.0759,2.1394,0.3567,1.7827,2.147,0.457,1.69,2.2202,0.4686,1.7516
385,,South Ayrshire,6.5813,2.092,4.4893,6.9697,2.1055,4.8642,6.6094,1.9431,4.6663,5.3237,0.9919,4.3318,5.3403,0.4945,4.8458,5.3556,0.45,4.9057,5.3699,0.4077,4.9622,4.8628,0.3481,4.5146,3.6692,0.4804,3.1888,3.7675,0.4238,3.3437,4.2827,0.4981,3.7846,3.8904,0.4314,3.459
386,,South Lanarkshire,7.7221,2.0223,5.6998,7.978,2.0361,5.9419,7.7675,1.9097,5.8578,6.1906,0.9559,5.2348,6.0979,0.4877,5.6102,6.2485,0.4373,5.8113,6.1164,0.3734,5.743,5.9095,0.3547,5.5548,4.4324,0.4652,3.9672,4.4324,0.3342,4.0982,4.8704,0.4481,4.4223,4.4056,0.4157,3.9899
387,,Stirling,7.0009,2.0224,4.9786,7.1026,1.9913,5.1114,6.9548,1.9,5.0547,5.6605,0.9456,4.7149,5.4738,0.5009,4.9729,5.607,0.4487,5.1583,5.4804,0.3801,5.1003,5.3512,0.3524,4.9989,3.9576,0.4733,3.4844,3.8065,0.3348,3.4717,4.405,0.4423,3.9628,3.8353,0.4208,3.4145
388,,West Dunbartonshire,7.1729,2.0814,5.0914,7.1519,2.0415,5.1104,7.0113,1.9017,5.1096,5.4226,0.9547,4.4678,5.5041,0.4968,5.0073,5.5512,0.4474,5.1038,5.4398,0.3837,5.0562,5.2442,0.3551,4.8891,3.8327,0.4732,3.3595,3.7503,0.3797,3.3706,4.1108,0.4441,3.6667,3.8477,0.4213,3.4264
389,,Eilean Siar,5.5015,2.3439,3.1576,5.3109,2.2898,3.0211,5.1195,2.0933,3.0262,4.0182,1.0748,2.9434,3.5327,0.5763,2.9564,3.2999,0.5197,2.7803,3.1299,0.3829,2.747,,,,,,,,,,,,,,,
390,,West Lothian,7.8332,1.9762,5.857,8.0168,2.0006,6.0162,8.1687,1.9229,6.2458,6.1859,0.9581,5.2279,5.9982,0.4992,5.499,6.2383,0.4412,5.7971,6.0254,0.3701,5.6554,5.9698,0.3457,5.6241,4.4849,0.4729,4.012,4.2617,0.2889,3.9727,4.7973,0.4577,4.3396,4.253,0.4136,3.8394
391,,Blaenau Gwent,8.8562,2.1175,6.7388,10.8791,2.188,8.6911,10.4631,2.2021,8.261,8.8294,1.214,7.6154,8.889,0.59,8.299,7.3691,0.5035,6.8656,7.8552,0.5859,7.2692,7.608,0.5912,7.0169,6.0602,0.6923,5.3678,6.6957,0.5673,6.1285,7.0011,0.574,6.4272,5.3096,0.5642,4.7454
392,,Bridgend,8.6522,2.2033,6.4489,9.9931,2.2664,7.7267,9.5967,2.2886,7.3081,7.9057,1.2661,6.6396,8.5367,0.7883,7.7484,7.1772,0.5547,6.6225,7.7151,0.6602,7.055,7.5279,0.6316,6.8963,6.2765,0.768,5.5085,6.8107,0.6422,6.1686,6.2893,0.619,5.6703,5.2469,0.6511,4.5957
393,,Caerphilly,9.4711,2.1329,7.3382,11.6251,2.1987,9.4264,11.0997,2.2195,8.8802,9.507,1.2238,8.2832,9.1821,0.6187,8.5634,7.7331,0.5133,7.2198,8.2005,0.5854,7.6152,7.8963,0.5902,7.3062,6.6419,0.7093,5.9326,7.4255,0.5731,6.8525,7.963,0.5752,7.3878,5.7215,0.5811,5.1404
394,,Cardiff,10.4015,2.1444,8.2571,11.1726,2.204,8.9686,10.8607,2.231,8.6297,10.1691,1.2328,8.9363,10.2698,0.6405,9.6293,8.8155,0.5212,8.2942,9.4365,0.5752,8.8613,8.8915,0.5883,8.3032,7.6274,0.7296,6.8978,8.8132,0.5793,8.2339,9.3604,0.565,8.7954,6.5303,0.5932,5.9371
395,,Carmarthenshire,8.2169,2.3023,5.9146,9.4849,2.3756,7.1094,9.1388,2.3903,6.7486,7.6751,1.3066,6.3685,7.6558,0.9516,6.7042,6.385,0.6469,5.7381,7.2823,0.7611,6.5212,6.6829,0.6196,6.0633,5.7087,0.8108,4.8979,5.7618,0.6832,5.0787,5.5209,0.753,4.768,4.8455,0.7513,4.0942
396,,Ceredigion,7.2282,2.2488,4.9794,8.0875,2.3056,5.7819,7.7715,2.2842,5.4872,6.9991,1.2956,5.7035,6.8418,0.7741,6.0677,5.6116,0.5005,5.1111,6.4095,0.6118,5.7977,6.1788,0.6077,5.5711,4.9268,0.6575,4.2693,4.8322,0.5812,4.251,4.9136,0.7724,4.1413,4.4959,0.7029,3.793
397,,Conwy,7.4278,2.2635,5.1643,8.108,2.203,5.905,7.861,2.1965,5.6645,7.0834,1.1882,5.8952,5.9667,0.4791,5.4876,5.351,0.3508,5.0002,6.6505,0.4848,6.1656,6.6505,0.5206,6.1299,4.7931,0.7397,4.0534,5.2554,0.5425,4.7128,5.4121,0.749,4.663,4.302,0.6339,3.6681
398,,Denbighshire,7.8101,2.2101,5.6001,8.6492,2.1658,6.4835,8.4343,2.1502,6.2841,7.6861,1.166,6.5201,6.5677,0.4812,6.0865,5.8795,0.3647,5.5148,6.9297,0.4512,6.4785,7.0263,0.5183,6.5081,5.1503,0.7052,4.4451,5.5495,0.539,5.0106,5.8537,0.6977,5.156,4.652,0.629,4.023
399,,Flintshire,9.1838,2.1715,7.0123,9.3845,2.1397,7.2448,9.2254,2.1174,7.1081,8.1043,1.1478,6.9565,7.5815,0.4788,7.1027,6.5908,0.3759,6.2149,7.3278,0.4181,6.9096,7.6862,0.5135,7.1726,5.8074,0.6522,5.1552,6.261,0.528,5.733,6.6371,0.6296,6.0075,5.4032,0.6155,4.7877
400,,Gwynedd,7.0021,2.2854,4.7166,7.9414,2.2545,5.6869,7.6278,2.2471,5.3806,6.9915,1.2363,5.7552,5.5825,0.5042,5.0783,4.9439,0.3719,4.5721,6.3476,0.5405,5.8071,6.2322,0.5573,5.6749,4.5243,0.7277,3.7966,4.7027,0.5451,4.1575,4.7473,0.7599,3.9874,3.9826,0.641,3.3416
401,,Isle of Anglesey,6.9912,2.2805,4.7107,7.5764,2.2577,5.3187,7.3101,2.2405,5.0696,6.3587,1.217,5.1417,5.4219,0.5059,4.916,4.8128,0.3752,4.4376,6.1792,0.5286,5.6506,5.9293,0.524,5.4053,4.4716,0.7351,3.7365,4.6549,0.5445,4.1104,4.58,0.7564,3.8236,3.8667,0.6371,3.2296
402,,Merthyr Tydfil,8.8212,2.1454,6.6758,11.0091,2.2145,8.7947,10.4857,2.2299,8.2558,9.0373,1.2323,7.805,8.8088,0.6414,8.1674,7.3419,0.5144,6.8275,7.9388,0.6012,7.3376,7.6349,0.5941,7.0408,6.1608,0.7014,5.4595,6.7733,0.5794,6.1939,7.1425,0.6056,6.5369,5.416,0.5999,4.8161
403,,Monmouthshire,9.1428,2.0865,7.0563,10.2388,2.1543,8.0845,9.9487,2.1712,7.7775,8.2304,1.1885,7.0418,8.7799,0.547,8.2329,7.7328,0.5043,7.2284,7.9873,0.5574,7.4299,7.9102,0.5829,7.3273,6.1924,0.6916,5.5008,6.4005,0.5444,5.8561,6.3425,0.5266,5.8159,5.2062,0.5186,4.6875
404,,Neath Port Talbot,8.7476,2.2304,6.5172,9.9879,2.298,7.6899,9.6577,2.3152,7.3425,8.4088,1.2779,7.131,8.3931,0.838,7.5551,7.0798,0.5728,6.507,7.7426,0.6906,7.052,7.424,0.6258,6.7982,6.1406,0.7674,5.3732,6.4696,0.6465,5.8231,6.2971,0.6814,5.6157,5.3246,0.6815,4.6431
405,,Newport,10.778,2.1147,8.6633,11.2044,2.1775,9.0269,11.0786,2.2012,8.8774,9.8562,1.2113,8.6449,9.9461,0.5904,9.3558,8.7618,0.5091,8.2527,9.2658,0.5643,8.7015,8.8743,0.585,8.2893,7.2186,0.7186,6.5,8.1638,0.565,7.5988,8.3735,0.5493,7.8242,6.2054,0.5592,5.6462
406,,Pembrokeshire,7.9703,2.4349,5.5355,8.8357,2.5272,6.3085,8.4774,2.5198,5.9576,7.0728,1.369,5.7038,7.3283,1.032,6.2963,6.1459,0.736,5.4099,7.12,0.8438,6.2762,6.2735,0.6187,5.6548,5.5529,0.8788,4.6741,5.3647,0.7327,4.632,4.7618,0.793,3.9688,4.5417,0.8081,3.7337
407,,Powys,7.5188,2.1286,5.3902,8.5743,2.1753,6.399,8.2304,2.1597,6.0707,6.9202,1.2108,5.7094,7.2481,0.5771,6.671,6.0196,0.4584,5.5612,6.5488,0.5544,5.9943,6.5764,0.5956,5.9808,5.0345,0.6379,4.3966,5.1666,0.5483,4.6183,5.2832,0.67,4.6132,4.6144,0.6134,4.001
408,,"Rhondda, Cynon, Taff",8.8915,2.1642,6.7273,11.2632,2.2296,9.0336,10.6532,2.2505,8.4027,9.2275,1.2435,7.984,8.834,0.6901,8.1439,7.3666,0.5283,6.8383,7.9413,0.6173,7.324,,,,,,,,,,,,,,,
409,,Swansea,8.5467,2.2731,6.2736,9.4512,2.3424,7.1088,9.5109,2.3592,7.1517,8.2898,1.2975,6.9923,8.4158,0.9079,7.508,7.0548,0.6155,6.4392,7.933,0.7307,7.2023,7.3651,0.6264,6.7387,6.2531,0.8011,5.452,6.7357,0.6748,6.0609,6.4156,0.7106,5.705,5.4595,0.7183,4.7412
410,,Torfaen,9.6447,2.1091,7.5356,10.9326,2.1761,8.7565,10.4654,2.1957,8.2698,8.9776,1.2069,7.7707,9.2874,0.5787,8.7087,7.8709,0.5044,7.3665,8.3212,0.5722,7.7489,8.0614,0.5869,7.4745,6.5983,0.7032,5.895,7.3879,0.5615,6.8264,7.7803,0.5513,7.229,5.7753,0.5509,5.2244
411,,The Vale of Glamorgan,8.7086,2.1642,6.5444,9.6645,2.2201,7.4443,9.2435,2.2492,6.9943,8.2891,1.2468,7.0423,8.7112,0.7125,7.9987,7.3664,0.5324,6.834,7.7669,0.6034,7.1635,,,,,,,,,,,,,,,
412,,Wrexham,8.8043,2.1549,6.6493,9.3925,2.1346,7.2579,9.2643,2.1129,7.1515,8.1003,1.1495,6.9507,7.8271,0.4931,7.3339,6.7869,0.3872,6.3997,7.4746,0.4431,7.0315,7.9703,0.5292,7.4412,5.7577,0.6389,5.1188,6.042,0.5277,5.5144,6.4993,0.6139,5.8854,5.3663,0.6124,4.7539
413,,Antrim,6.7668,2.1139,4.6529,8.0096,2.252,5.7577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,Ards,7.7994,2.1147,5.6847,8.9813,2.2623,6.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,Armagh,6.8212,2.0971,4.7241,8.1844,2.254,5.9304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,Ballymena,6.9527,2.1268,4.8259,8.231,2.2282,6.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,Ballymoney,6.6532,2.144,4.5092,7.5507,2.2076,5.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,Banbridge,7.2826,2.1072,5.1754,8.7916,2.2909,6.5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,Belfast,10.1495,2.1115,8.038,10.5608,2.2741,8.2867,9.9145,2.1383,7.7763,7.0534,1.1425,5.9109,9.4803,0.6028,8.8776,8.2964,0.5145,7.7819,10.3297,0.6101,9.7196,7.9278,0.4149,7.5129,7.705,0.6756,7.0295,6.7179,0.4949,6.223,5.7983,0.6766,5.1217,4.9632,0.5823,4.3808
420,,Carrickfergus,7.7195,2.1188,5.6008,8.9314,2.2493,6.6821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,Castlereagh,8.4356,2.1114,6.3242,9.2889,2.2769,7.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,Coleraine,6.4756,2.1496,4.3261,8.0286,2.1995,5.8291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,Cookstown,6.6199,2.0976,4.5223,8.0551,2.2214,5.8337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,Craigavon,8.4508,2.1018,6.349,8.9042,2.2738,6.6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,Derry,7.2766,2.1155,5.1611,9.4339,2.1743,7.2597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,Down,6.5715,2.1181,4.4535,8.1829,2.2873,5.8956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,Dungannon and South Tyrone,6.5432,2.0882,4.455,7.97,2.2214,5.7486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,Fermanagh,5.4183,2.0476,3.3708,6.5109,2.1417,4.3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,Larne,7.2879,2.1279,5.16,8.5586,2.2317,6.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,Limavady,6.0112,2.1278,3.8834,7.7965,2.1906,5.6059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,Lisburn,8.1126,2.1071,6.0056,9.6742,2.2878,7.3864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,Magherafelt,6.312,2.1133,4.1986,7.6221,2.2174,5.4047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,Moyle,6.1214,2.1607,3.9607,7.2024,2.2023,5.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,Newry and Mourne,6.5808,2.1171,4.4638,7.9435,2.2829,5.6606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,Newtownabbey,7.943,2.1161,5.8269,8.8427,2.2584,6.5843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,North Down,8.947,2.1157,6.8313,9.3381,2.2544,7.0837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,Omagh,6.343,2.0685,4.2745,7.0845,2.1635,4.9211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,Strabane,5.6939,2.0812,3.6128,6.8077,2.153,4.6547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,E06000047,County Durham,8.8011,1.8895,6.9116,9.517,1.9995,7.5175,9.4273,1.9312,7.4961,7.1773,0.9036,6.2737,6.3417,0.383,5.9587,6.383,0.3799,6.0031,6.5196,0.3023,6.2174,6.088,0.3263,5.7617,4.9776,0.4685,4.5091,5.8015,0.3459,5.4556,6.5139,0.3348,6.1791,5.6692,0.4414,5.2279
441,E06000057,Northumberland,8.1924,1.887,6.3054,8.7104,2.0131,6.6973,8.607,1.9427,6.6643,6.4543,0.9209,5.5334,5.9573,0.403,5.5543,6.0585,0.3997,5.6588,6.0358,0.3205,5.7153,5.6848,0.3267,5.3581,4.5553,0.4645,4.0907,5.0801,0.3291,4.751,5.6484,0.3806,5.2678,5.0916,0.4299,4.6617
442,E06000051,Shropshire,8.9573,2.0909,6.8664,9.4951,2.1137,7.3814,9.2247,2.0919,7.1329,7.9022,1.1303,6.7719,8.0081,0.5075,7.5006,6.8561,0.4274,6.4287,7.1781,0.4723,6.7057,7.8229,0.564,7.2589,5.4503,0.604,4.8463,5.728,0.5088,5.2192,5.8149,0.5507,5.2642,5.1097,0.557,4.5528
443,E06000054,Wiltshire,10.0599,2.1218,7.9381,10.6178,2.1591,8.4587,10.12,2.1752,7.9448,8.6265,1.218,7.4085,9.627,0.5739,9.0531,8.8436,0.5104,8.3331,8.8985,0.4792,8.4193,7.8469,0.5643,7.2826,7.1363,0.7562,6.3801,7.0159,0.5011,6.5148,7.2366,0.5248,6.7118,5.9567,0.5575,5.3992
444,E06000056,Central Bedfordshire,11.3545,2.1303,9.2242,11.6143,2.0855,9.5289,11.1292,2.0395,9.0897,9.6527,1.0714,8.5813,10.0808,0.549,9.5318,10.4408,0.5479,9.8929,10.1658,0.4763,9.6895,10.451,0.5825,9.8685,7.5799,0.6235,6.9565,7.5899,0.4698,7.1201,8.6984,0.6016,8.0968,7.0958,0.561,6.5348
445,E06000049,Cheshire East,9.6896,2.091,7.5986,10.1617,2.0896,8.0721,9.8215,2.0472,7.7742,8.3771,1.0976,7.2795,8.3912,0.4865,7.9048,7.0862,0.3672,6.7191,7.1494,0.3236,6.8259,8.6001,0.4921,8.108,6.1223,0.5543,5.568,7.4041,0.462,6.9421,8.0874,0.3863,7.7011,6.665,0.5591,6.1059
446,E06000050,Cheshire West and Chester,9.5264,2.13,7.3964,9.8975,2.1124,7.7851,,,,,,,8.1694,0.4855,7.6839,7.0651,0.3776,6.6875,7.3481,0.3535,6.9947,8.2088,0.4987,7.7101,6.018,0.6002,5.4178,7.1048,0.5071,6.5977,7.6846,0.519,7.1656,6.1401,0.5814,5.5587
,,Cornwall (with Isle of Scilly),8.423,2.6852,5.7378,9.2127,2.7475,6.4652,8.3398,2.3442,5.9956,8.8348,1.7279,7.1069,7.4456,1.1152,6.3304,6.7748,0.9183,5.8565,6.5187,0.9263,5.5924,6.1461,1.0157,5.1305,5.9264,0.9004,5.026,,,,,,,,,
439,E06000053,Isles of Scilly,,,,,,,6.838,2.3658,4.4723,6.9364,1.8626,5.0738,5.9711,1.0895,4.8816,5.2444,0.8954,4.3491,5.1312,0.9544,4.1769,4.7765,0.9892,3.7874,4.8492,0.8905,3.9588,4.5645,0.8645,3.7,3.513,1.0316,2.4813,4.3191,0.969,3.3501
446,,Cheshire West,,,,,,,9.6019,2.0797,7.5222,8.4524,1.1226,7.3298,,,,,,,,,,,,,,,,,,,,,,,,
447,E06000052,Cornwall,,,,,,,8.346,2.3441,6.0019,8.8427,1.7274,7.1153,7.4517,1.1153,6.3364,6.7812,0.9184,5.8627,6.5243,0.9262,5.5981,6.1516,1.0158,5.1358,5.9306,0.9004,5.0302,5.8178,0.8848,4.933,4.2498,0.9899,3.2599,5.2618,0.9917,4.2701
448,,Antrim and Newtownabbey,,,,,,,8.2029,2.1122,6.0907,6.5914,1.1205,5.4709,7.0395,0.5972,6.4423,6.3219,0.5119,5.81,7.7813,0.5994,7.1819,5.937,0.4255,5.5116,5.9392,0.6558,5.2834,6.1429,0.4866,5.6564,5.3419,0.6517,4.6902,4.5166,0.582,3.9346
449,,Armagh Banbridge and Craigavon,,,,,,,8.2168,2.1485,6.0683,6.483,1.1456,5.3373,6.2504,0.5972,5.6532,5.804,0.5116,5.2924,7.2025,0.6029,6.5996,,,,,,,,,,,,,,,
451,,Causeway Coast and Glens,,,,,,,7.2538,2.0246,5.2292,5.5304,1.047,4.4834,5.3295,0.5574,4.7722,5.0289,0.4877,4.5412,5.7968,0.5351,5.2617,4.8721,0.4423,4.4298,4.1949,0.5659,3.6291,4.4992,0.4597,4.0396,4.6532,0.6051,4.0482,3.9837,0.5797,3.404
452,,Derry and Strabane,,,,,,,8.0759,2.0086,6.0673,6.2525,1.0273,5.2252,5.9448,0.5456,5.3993,5.7179,0.4841,5.2339,6.2845,0.5181,5.7664,,,,,,,,,,,,,,,
453,,Fermanagh and Omagh,,,,,,,6.348,2.0356,4.3124,4.6407,1.0443,3.5964,4.5244,0.5372,3.9873,4.6414,0.4835,4.1579,4.7664,0.5126,4.2539,4.6046,0.5185,4.0861,3.6778,0.5476,3.1302,4.0343,0.3999,3.6344,3.7016,0.5643,3.1372,3.225,0.5694,2.6555
